wavelength,Ezero,a_W,bb_W,chi,e,fastocean_450,fastocean_530,fastocean_624,fasttracka_ii,fire,phyto_abs,fastact
529,0.889010468,0.043129511,0.000870137,0.064380881,0.561328579,134.1454286,37763.04143,0,624.726,0,0.026580469,941.617076
528,0.887184193,0.042941673,0.000877279,0.064797885,0.564520786,164.4642857,38833.54086,0,671.642,0,0.026580469,931.1257039
527,0.885404539,0.042595259,0.000884493,0.065204449,0.567988704,163.8071429,39504.4,0,720.808,0,0.026580469,918.1177163
526,0.884713258,0.042096684,0.00089178,0.065554008,0.571544415,188.532,40414.52914,0,789.888,0,0.027979441,906.1318306
525,0.885299321,0.0417,0.000899141,0.0658,0.575,193.1983333,40961.05556,0,863.2,0,0.027979441,891.3192722
524,0.88706564,0.041587344,0.000906578,0.065913086,0.578229951,199.2185714,41816.7,0,944.294,0,0.029378413,875.2461611
523,0.889595722,0.041610111,0.00091409,0.065932834,0.581358393,220.4985714,42424.06143,0,1038.696,0,0.029378413,857.3576082
522,0.892376721,0.041542787,0.000921679,0.06591604,0.584571859,234.4471429,43148.63857,0,1150.184,0,0.029378413,836.7494376
521,0.894897337,0.041292695,0.000929345,0.065919497,0.588056884,204.9268571,43946.79543,0,1273.214,0,0.029378413,815.2796293
520,0.897165956,0.0409,0.000937091,0.066,0.592,215.0017143,44026.43657,0,1403.666,0,0.030777386,791.6465102
519,0.900458831,0.040430106,0.000944916,0.066197976,0.596506817,264.1711111,44453.475,0,1550.382,0,0.030777386,767.7451632
518,0.905267755,0.040026282,0.000952821,0.066488378,0.601359242,268.278,43955.294,0,1691.704,0,0.030777386,741.5873937
517,0.909287656,0.039841352,0.000960809,0.066829792,0.606258259,289.8805556,43213.17667,0,1841.346,0,0.032176358,714.4765291
516,0.910712164,0.039800247,0.000968879,0.067180804,0.61090485,301.0114286,42329.17371,0,1991.854,0,0.032176358,686.2771557
515,0.911116729,0.0396,0.000977032,0.0675,0.615,319.298,41126.94914,0,2155.76,0,0.032176358,658.4088724
