,flashlet_number,fyield,datetime,seq,seq_time,pfd,led_sequence
787,88,0.20969200000000002,2016-07-06 18:05:50,5.0,176,0.0003036,2
788,89,0.20733600000000002,2016-07-06 18:05:50,5.0,178,0.0003036,2
789,90,0.208643,2016-07-06 18:05:50,5.0,180,0.0003036,2
790,91,0.21408600000000003,2016-07-06 18:05:50,5.0,182,0.0003036,2
791,92,0.20506300000000002,2016-07-06 18:05:50,5.0,184,0.0003036,2
792,93,0.20612399999999997,2016-07-06 18:05:50,5.0,186,0.0003036,2
793,94,0.21137899999999998,2016-07-06 18:05:50,5.0,188,0.0003036,2
794,95,0.218257,2016-07-06 18:05:50,5.0,190,0.0003036,2
795,96,0.215592,2016-07-06 18:05:50,5.0,192,0.0003036,2
796,97,0.21541,2016-07-06 18:05:50,5.0,194,0.0003036,2
797,98,0.21302,2016-07-06 18:05:50,5.0,196,0.0003036,2
798,99,0.20610599999999998,2016-07-06 18:05:50,5.0,198,0.0003036,2
799,100,0.208274,2016-07-06 18:05:50,5.0,200,0.0003036,2
800,101,0.20566700000000002,2016-07-06 18:05:50,5.0,350,0.0003036,2
801,102,0.189033,2016-07-06 18:05:50,5.0,502,0.0003036,2
802,103,0.199532,2016-07-06 18:05:50,5.0,657,0.0003036,2
803,104,0.188195,2016-07-06 18:05:50,5.0,814,0.0003036,2
804,105,0.194019,2016-07-06 18:05:50,5.0,973,0.0003036,2
805,106,0.190047,2016-07-06 18:05:50,5.0,1134,0.0003036,2
806,107,0.198454,2016-07-06 18:05:50,5.0,1298,0.0003036,2
807,108,0.19889400000000002,2016-07-06 18:05:50,5.0,1465,0.0003036,2
808,109,0.190299,2016-07-06 18:05:50,5.0,1634,0.0003036,2
809,110,0.186068,2016-07-06 18:05:50,5.0,1805,0.0003036,2
810,111,0.192384,2016-07-06 18:05:50,5.0,1979,0.0003036,2
811,112,0.183778,2016-07-06 18:05:50,5.0,2156,0.0003036,2
812,113,0.185166,2016-07-06 18:05:50,5.0,2336,0.0003036,2
813,114,0.183403,2016-07-06 18:05:50,5.0,2518,0.0003036,2
814,115,0.18294000000000002,2016-07-06 18:05:50,5.0,2702,0.0003036,2
815,116,0.18954300000000002,2016-07-06 18:05:50,5.0,2890,0.0003036,2
816,117,0.191904,2016-07-06 18:05:50,5.0,3080,0.0003036,2
817,118,0.196984,2016-07-06 18:05:50,5.0,3273,0.0003036,2
818,119,0.181498,2016-07-06 18:05:50,5.0,3470,0.0003036,2
819,120,0.188969,2016-07-06 18:05:50,5.0,3669,0.0003036,2
820,121,0.192724,2016-07-06 18:05:50,5.0,3871,0.0003036,2
821,122,0.182793,2016-07-06 18:05:50,5.0,4076,0.0003036,2
822,123,0.195911,2016-07-06 18:05:50,5.0,4284,0.0003036,2
823,124,0.175698,2016-07-06 18:05:50,5.0,4495,0.0003036,2
