,fo_r,fm_r,alpha1,tau1,alpha2,tau2,alpha3,tau3,rsq,bias,chi,for_err,fmr_err,alpha1_err,tau1_err,alpha2_err,tau2_err,alpha3_err,tau3_err,nfl,datetime
45,198.54367285262506,258.9755087613966,0.9999999999969919,100.00000000000001,0.1000000000140585,1999.9999999999998,0.6632586676733677,6294.743518132783,0.4644187918632112,0.000451139035170658,280.3173684501368,36.14757858823252,,,187004.45683484653,,20491397.70040861,,3602855.2580231978,61.0,2017-01-13 23:51:33
46,184.4592997539391,257.6400000000005,0.7820339176621818,100.00000000000001,0.10000000000000002,800.0000000411706,0.4570285829246363,10328.645174193936,0.4483722008832136,7.07487814360608e-05,236.0916424374666,22.44588121169239,,,63593.525018382046,,2846672.582020498,,1611198.6575549182,61.0,2017-01-13 23:53:27
47,200.78811451863373,247.62000000000006,0.9460351678893181,428.1092516628935,0.10000000000000002,800.0000000000001,0.208320363830264,49999.99999924551,0.31828359000485384,0.0003038394098928718,291.47842409913426,86.24388712598005,,,9628655.00335899,,184554958.66505697,,54958512.26387913,61.0,2017-01-13 23:55:21
48,189.60333333333332,251.9157110698245,0.9978487716245819,100.00000000000001,0.28981633162569703,1999.9999999587699,0.22787187370853135,49999.99999996853,0.38513784812395724,7.02134137312253e-05,176.21575821917511,53.7194470403404,,,3854.9652753392056,,342176.506742025,,7547816.220722969,61.0,2017-01-13 23:57:14
49,228.87,274.6800000036209,0.7985201376480282,100.0000000084185,0.10000000000000002,800.016762174246,0.10000000000000002,2500.8379773467414,0.13876346302509268,0.0010829533710419088,392.94533754073365,3703.8926386212847,,,480434.94386011077,,65533648.43887059,,130472462.98746586,61.0,2017-01-13 23:59:08
50,190.681197085549,260.32035702666457,0.9999999999999999,100.00000000000001,0.10000000000000002,1562.0105742590486,0.5074795763567538,17077.665701142498,0.4502267241484138,5.574531827634444e-05,176.48284332512742,358.3696486856644,1506033631.6375532,21626259.075427566,141121.65094143964,2162621.76191471,654341.1312036613,10974875.115037505,796835.467268582,61.0,2017-01-14 00:01:02
51,181.39,268.8900000000001,0.31213753846762277,100.00000000000001,0.10000000000000002,1595.199605857763,0.5571305792238364,49999.999999997824,0.48973839560621757,2.1604367661379543e-05,190.43177046189643,2610.4090752101406,806487312.0648487,2876970.7514407802,8588.558516909481,921699.6095441035,5399713.321449957,5135071.461070066,31234673.39533932,61.0,2017-01-14 00:02:55
52,190.061284672365,269.31000000003576,0.4664826312873442,100.00000000000001,0.10000000000000002,1999.9999999999998,0.4912488725158062,8229.89439594976,0.5731705112190196,-7.067739440875574e-05,143.38298762443333,22.914880302802853,1150051145.1633136,6769559.4172394825,183883.90288334346,1451197.0650339255,8948402.113138407,7128960.455793131,3946935.7992815278,61.0,2017-01-14 00:04:48
53,201.84167202100662,255.18000000000004,0.10000000000000002,799.9999995667542,0.11631006825500022,1820.943884899238,0.7406186221628989,49999.99675712982,0.37667618983141615,0.00030088726935320045,210.4993801091218,1511.1265339317247,2060328404.357559,3862802.96100384,17005899.841699604,4492725.49388839,21858984.480427593,28608274.86849402,19833360.16039748,61.0,2017-01-14 00:06:42
54,190.92000000000002,258.9764695776176,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999994263,0.39458978617883267,44647.0661658068,0.2906215345161748,0.00034766116968944883,283.89626194055336,2359.006964212121,,,77718.12567914042,,5640808.538912959,,17079059.07661555,61.0,2017-01-14 00:08:34
55,181.09565744008083,232.71,0.10000000000000002,799.9999999944171,0.10000000000000002,1999.9999999999998,0.5464849571719099,10550.410674734187,0.19530894302566326,-0.000178999697242498,220.9853510279494,455.77642606512245,,,36075541.044842824,,53621113.15289485,,3324318.0981997186,61.0,2017-01-14 00:10:27
56,192.98073755128922,267.2007508511363,0.999999398602683,100.00000000000001,0.12806589681675015,1847.7213958202426,0.10003813988771179,2000.0320445588236,0.3716129056031995,0.00012224232805330728,216.31948295141035,27.564766994924604,,,37761.16083765986,4033340.518413304,2531071285.2743373,3542156.5371102383,3169972005.072816,61.0,2017-01-14 00:12:21
57,189.72525991496664,255.06499545904796,0.9999999999999999,116.43061031478742,0.10000000000000002,800.0002655700418,0.3383836537029723,17086.22791250289,0.2522338711391454,0.0005263165362449321,437.9076425463445,1238.8394299082754,,,18405.543545464614,,4185015.7597192037,,9569904.052942386,61.0,2017-01-14 00:14:15
58,205.89000000000036,263.6818639647534,0.9999999999999999,100.00000000000001,0.10000000000000002,800.000000000015,0.19499956765268955,18345.09696263572,0.3798924116691844,0.0003471564761147635,243.4328064605745,3183.5894663638696,,,180938.14816289238,,11653582.354513679,,51753366.811318345,61.0,2017-01-14 00:16:08
59,188.72314185136239,271.2926204979413,0.6745499123438193,100.00000000000001,0.10000380729347419,800.000000003385,0.5280962274642417,11152.640482009583,0.39829544620085244,0.00038153695119637034,350.2357228546777,33.47225672707833,,,34777.37094020247,,6115721.048281565,,5301948.351471138,61.0,2017-01-14 00:18:01
60,184.0816775623166,267.9000000000001,0.6187106824622064,100.00000000000001,0.10000000000000002,800.0000000000001,0.5678320493526702,49999.99999999999,0.299391647878654,0.0005302188717749692,385.2689308214662,63.947595694550266,1720312077.2383764,12698605.450313266,490397.7757393747,2052427.8872584915,9807787.494771335,11654353.133535428,1812315.2671583786,61.0,2017-01-14 00:19:54
61,193.4564352753843,297.1697374920809,0.7517440944287984,100.00000000000001,0.2019492208536102,1452.8050198428457,0.25424778847149304,49999.99999996692,0.6154012458859104,0.0001467457701446431,159.77225779703602,151.10469771025265,1234909702.7307122,8950984.413690336,1215.0672007078508,2404599.938967297,215054.11648750436,3027317.1532776314,3204693.9987248355,61.0,2017-01-14 00:21:47
62,186.55999999999997,255.29932964059725,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999999998,0.29877986898596487,49999.99999999999,0.29823319127906756,-2.2124479751459252e-05,233.7243792891397,3671.6853260542744,3560005526.286332,51789939.0070038,118608.36982528373,5178991.562321233,16107765.005146993,15473792.001073241,26993621.295408204,61.0,2017-01-14 00:23:41
63,211.23,269.1269729468635,0.9999999999997204,100.00000000000001,0.10000889119037605,1991.9874731856821,0.15128612046073425,2030.1703502244802,0.3659569685628028,0.00040077684247374554,310.89868079959984,213.05385742183663,5555877306.738178,95961444.06526797,107482.22467754045,38571824.907987624,7294221737.731134,42405709.165403105,4892317685.973354,61.0,2017-01-14 00:25:34
64,195.2943957575547,277.0775655975399,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9978131294988,0.12659461476876133,9290.365043823784,0.36765857793034284,0.00011066164735238305,216.37112956294285,25.71173093740232,7422341722.811681,90756344.47281606,4886.616224074853,9075631.341018174,11208501.583110526,11489270.4288184,4586730.005504986,61.0,2017-01-14 00:27:27
65,170.27999999999994,227.10000000000005,0.5196025524898888,100.00000000000001,0.10000000000000002,1999.9998100140167,0.6772399268076589,49999.99999999999,0.1666552206218247,-0.00019521524093732312,298.6790005727177,2668.8030571971995,1862079865.1855485,17028182.988695867,92776.15441545469,3277156.71163544,4847387.548910431,22194207.394571677,13033349.333541783,61.0,2017-01-14 00:29:21
66,195.26586852256227,284.48693242608726,0.9999999997293152,100.00000000000001,0.1000000000000148,1172.9545892328601,0.16300513253361262,49999.999687903684,0.2679814649712816,0.0005218172987700438,352.1154736511461,2907.009261281496,,,133268.36226396807,,1287900.2058518517,,15545401.974853663,61.0,2017-01-14 00:31:14
67,181.1333333333333,263.94000000000005,0.7551797147772127,100.00000000000001,0.10000000000000002,1381.8768220821373,0.3866369313917523,49999.98637164343,0.40739133144459105,0.0001178268130069983,292.89857488365726,2377.825009767267,2013832063.7281446,18365731.830902603,82155.96202351485,2431968.895381886,6627558.8149808645,9402889.02789211,22990005.784373395,61.0,2017-01-14 00:33:08
68,186.576872050956,244.3247179327292,0.10000000000000002,799.9999999999999,0.9999999999999999,1999.9999999999998,0.12875602648150292,49999.99999604502,0.45668060333277594,0.0003491421530460855,178.1950497634314,31.483220130514724,5937770371.705287,10282242.584632179,7967559.616186616,102822362.33056246,1652875.2906429209,13239002.108767148,18501442.13219161,61.0,2017-01-14 00:35:01
69,203.61000000000004,228.56635151159392,0.9998464877966207,655.4177077389835,0.10000000000000002,800.0000000022293,0.40745076780484146,8254.266475537277,0.10774442913143967,0.000840486317917702,362.5880628524718,1029.3300864517892,,,165777520.71216625,,1982038175.2414846,,6807228.536319233,61.0,2017-01-14 00:36:54
70,187.77230010391617,272.9521424134319,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.9999999357233,0.20135255918092862,20917.194803818875,0.3645088125829832,0.0003471047504383401,248.5779654860885,75.82388614680912,8197294743.663978,96235169.75036791,88909.8342165135,9623507.081533637,2296749.207771458,19377192.904844023,838855.8383779703,61.0,2017-01-14 00:38:47
71,192.91689050009828,262.61792422774283,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.981113582656,0.41978898487626193,8136.883082916552,0.2727562076035558,0.00033607467084178876,370.7489365605591,50.33402424487682,4385186661.958153,62914227.57893289,140741.6250369994,6291418.315289979,40465572.48391242,26410703.525000405,6168312.316560152,61.0,2017-01-14 00:40:41
72,183.5734449584121,250.54401514104904,0.4753612253040312,100.00000000000001,0.10000051368935339,1999.9999999099382,0.6689039026140347,2071.0907194336555,0.46547060243910576,0.00014465328977366084,198.92485093922033,49.857937527831545,963899154.539538,6841562.12069353,,,,,,61.0,2017-01-14 00:42:34
73,187.25583031480926,273.35658251672805,0.9999987135415931,100.00000000000001,0.10000000024632671,800.0000139688073,0.3719163909877703,18152.37105346097,0.5149550398588092,0.00017170907974198624,180.05019940996792,27.847560442128156,,,6111.347282609993,,620043.8754014076,,542082.2579223211,61.0,2017-01-14 00:44:28
74,200.82000000000002,255.4636071682321,0.9999999999999999,100.00000000000001,0.10000000000000002,800.0000000000001,0.10000000000000002,2000.0000002234303,0.20237970585491283,0.0009464948228251217,496.60041327303253,313.06289866056613,,,231790.6332968707,,30530668.566744186,,27153505.02916749,61.0,2017-01-14 00:46:21
75,187.90387621572958,276.0139321406456,0.9999999999999999,100.00000000000001,0.10000000000000002,1999.999998903122,0.23427036900360687,15881.41395786885,0.4362800924308302,0.00025420130488619,211.9231316716173,80.5359592615786,2184047705.688171,24787722.92890282,5432.09077783864,2478772.1599595584,2309612.0490847877,5807029.848521676,11815910.235567914,61.0,2017-01-14 00:48:15
76,208.16061484157754,255.6300000008734,0.10000000000000002,799.999999993024,0.6879948228136503,1368.3092462957993,0.14116288994561044,49999.99980039604,0.24363063688623565,0.00011505884536931013,244.52189652709524,23.179885187311196,1698497020.0326712,3578006.374199522,46195328.209679,24617236.257544547,13159798.653263224,5050933.704307492,23663835.192852773,61.0,2017-01-14 00:50:08
77,206.367568212073,264.3900000000001,0.6077153150383447,100.00000000000001,0.26516483982672057,1182.9592209091052,0.10000000000115787,2000.0001722249074,0.3530101705837525,0.00017927470192033294,254.19799532177163,42.05169538603172,18695719907.637825,195815218.8324028,208966.97995602764,85439607.98308703,24779126.88675743,32222143.656249918,79004632.03250352,61.0,2017-01-14 00:52:02
78,191.93807334417437,225.30000000000004,0.10000000000000002,799.9999999999985,0.8242833473934171,1999.9999999999998,0.15362072393764756,49999.99999805614,0.24016455232481082,0.00022654214969961762,248.98371472378588,3616.136859081801,,,34462308.47123029,,5186091.676958622,,81588510.88835488,61.0,2017-01-14 00:53:55
79,184.88061893600067,248.88000000000005,0.7328505393612978,100.00000000000001,0.10000000000000002,1999.999999999313,0.569361471851479,49999.99999999999,0.48608407276054055,0.00017403550746429735,196.44421807809056,32.8621126610595,5333608199.6832485,61074612.6047541,40541.836748378395,8333846.5069685215,2470281.499549788,47449693.424559005,1756909.1914899137,61.0,2017-01-14 00:55:49
