,flashlet_number,fyield,datetime,seq,seq_time,pfd
156,157.0,209.1,2017-01-13 22:26:21,0,997310,0.00028443295999999995
157,158.0,184.8,2017-01-13 22:26:21,0,1062310,0.00028443295999999995
158,159.0,266.5,2017-01-13 22:26:21,0,1127310,0.00028443295999999995
159,160.0,266.5,2017-01-13 22:26:21,0,1192310,0.00028443295999999995
160,1.0,187.1,2017-01-13 22:28:15,1,1,0.00028443295999999995
161,2.0,301.2,2017-01-13 22:28:15,1,2,0.00028443295999999995
162,3.0,319.8,2017-01-13 22:28:15,1,3,0.00028443295999999995
163,4.0,317.0,2017-01-13 22:28:15,1,4,0.00028443295999999995
164,5.0,345.1,2017-01-13 22:28:15,1,5,0.00028443295999999995
165,6.0,317.3,2017-01-13 22:28:15,1,6,0.00028443295999999995
166,7.0,361.9,2017-01-13 22:28:15,1,7,0.00028443295999999995
167,8.0,329.2,2017-01-13 22:28:15,1,8,0.00028443295999999995
168,9.0,301.7,2017-01-13 22:28:15,1,9,0.00028443295999999995
169,10.0,329.1,2017-01-13 22:28:15,1,10,0.00028443295999999995
170,11.0,304.9,2017-01-13 22:28:15,1,11,0.00028443295999999995
171,12.0,348.1,2017-01-13 22:28:15,1,12,0.00028443295999999995
172,13.0,362.5,2017-01-13 22:28:15,1,13,0.00028443295999999995
173,14.0,314.3,2017-01-13 22:28:15,1,14,0.00028443295999999995
174,15.0,319.7,2017-01-13 22:28:15,1,15,0.00028443295999999995
175,16.0,311.7,2017-01-13 22:28:15,1,16,0.00028443295999999995
176,17.0,287.9,2017-01-13 22:28:15,1,17,0.00028443295999999995
177,18.0,306.7,2017-01-13 22:28:15,1,18,0.00028443295999999995
178,19.0,321.4,2017-01-13 22:28:15,1,19,0.00028443295999999995
179,20.0,354.0,2017-01-13 22:28:15,1,20,0.00028443295999999995
180,21.0,316.7,2017-01-13 22:28:15,1,21,0.00028443295999999995
181,22.0,319.9,2017-01-13 22:28:15,1,22,0.00028443295999999995
182,23.0,332.2,2017-01-13 22:28:15,1,23,0.00028443295999999995
183,24.0,334.5,2017-01-13 22:28:15,1,24,0.00028443295999999995
184,25.0,347.3,2017-01-13 22:28:15,1,25,0.00028443295999999995
185,26.0,307.9,2017-01-13 22:28:15,1,26,0.00028443295999999995
186,27.0,334.8,2017-01-13 22:28:15,1,27,0.00028443295999999995
187,28.0,295.4,2017-01-13 22:28:15,1,28,0.00028443295999999995
188,29.0,332.5,2017-01-13 22:28:15,1,29,0.00028443295999999995
189,30.0,335.4,2017-01-13 22:28:15,1,30,0.00028443295999999995
190,31.0,332.2,2017-01-13 22:28:15,1,31,0.00028443295999999995
191,32.0,339.5,2017-01-13 22:28:15,1,32,0.00028443295999999995
192,33.0,339.7,2017-01-13 22:28:15,1,33,0.00028443295999999995
193,34.0,317.0,2017-01-13 22:28:15,1,34,0.00028443295999999995
194,35.0,320.2,2017-01-13 22:28:15,1,35,0.00028443295999999995
195,36.0,328.9,2017-01-13 22:28:15,1,36,0.00028443295999999995
196,37.0,325.4,2017-01-13 22:28:15,1,37,0.00028443295999999995
197,38.0,312.1,2017-01-13 22:28:15,1,38,0.00028443295999999995
198,39.0,336.6,2017-01-13 22:28:15,1,39,0.00028443295999999995
199,40.0,330.0,2017-01-13 22:28:15,1,40,0.00028443295999999995
200,41.0,307.6,2017-01-13 22:28:15,1,41,0.00028443295999999995
201,42.0,317.0,2017-01-13 22:28:15,1,42,0.00028443295999999995
202,43.0,334.5,2017-01-13 22:28:15,1,43,0.00028443295999999995
203,44.0,328.7,2017-01-13 22:28:15,1,44,0.00028443295999999995
204,45.0,350.7,2017-01-13 22:28:15,1,45,0.00028443295999999995
205,46.0,338.9,2017-01-13 22:28:15,1,46,0.00028443295999999995
206,47.0,328.3,2017-01-13 22:28:15,1,47,0.00028443295999999995
207,48.0,355.3,2017-01-13 22:28:15,1,48,0.00028443295999999995
208,49.0,332.6,2017-01-13 22:28:15,1,49,0.00028443295999999995
209,50.0,357.6,2017-01-13 22:28:15,1,50,0.00028443295999999995
210,51.0,333.6,2017-01-13 22:28:15,1,51,0.00028443295999999995
211,52.0,341.5,2017-01-13 22:28:15,1,52,0.00028443295999999995
212,53.0,345.3,2017-01-13 22:28:15,1,53,0.00028443295999999995
213,54.0,329.0,2017-01-13 22:28:15,1,54,0.00028443295999999995
214,55.0,343.0,2017-01-13 22:28:15,1,55,0.00028443295999999995
215,56.0,332.3,2017-01-13 22:28:15,1,56,0.00028443295999999995
216,57.0,302.1,2017-01-13 22:28:15,1,57,0.00028443295999999995
